GARE_IDE_GAR;GARE_IDE_GAR_ORI;GARE_IDE_GAR_DES;COMMUNE;commune;LATITUDE;LONGITUDE;ZONE_GARE_ORI;ZONE_GARE_DES;ZONE_GARE
758169;758169;758169;94068;Saint-Maur-des-Fossés;48.8051451207; 2.48562114946;3;3;3
758177;758177;758177;94068;Saint-Maur-des-Fossés;48.8069455873; 2.51010547177;3;3;3
758318;758318;758318;93049;Neuilly-Plaisance;48.8534873866; 2.5136654026;3;3;3
758664;758664;758664;94003;Arcueil;48.807475534; 2.33385287317;2;2;2
758698;758698;758698;92014;Bourg-la-Reine;48.7801229868; 2.31306019095;3;3;3
758805;758805;758805;91477;Palaiseau;48.7178295117; 2.24650156983;4;4;4
758813;758813;758813;91477;Palaiseau;48.7076740717; 2.23720264144;4;4;4
758839;758839;758839;91471;Orsay;48.7049120727; 2.19136051979;5;5;5
758847;758847;758847;91471;Orsay;48.6976916156; 2.18217452645;5;5;5
754994;754994;754994;77111;Chessy;48.8705976925; 2.78287721332;5;5;5
758037;758037;758037;92050;Nanterre;48.9015475909; 2.21516720292;3;3;3
758110;758110;758110;94080;Vincennes;48.8473150518; 2.43327284147;2;2;2
758136;758136;758136;94052;Nogent-sur-Marne;48.8343444968; 2.47194060412;3;3;3
758151;758151;758151;94068;Saint-Maur-des-Fossés;48.8063293818; 2.4723169521;3;3;3
758193;758193;758193;94071;Sucy-en-Brie;48.7709967645; 2.50806859096;4;4;4
758334;758334;758334;93051;Noisy-le-Grand;48.8409753849; 2.54770380568;4;4;4
758672;758672;758672;94016;Cachan;48.798280675; 2.32790817631;3;3;3
758706;758706;758706;92071;Sceaux;48.781412968; 2.29718793977;3;3;3
758755;758755;758755;92002;Antony;48.7546567024; 2.30097393388;3;3;3
758763;758763;758763;92002;Antony;48.7431863371; 2.29659224464;4;4;4
758870;758870;758870;91272;Gif-sur-Yvette;48.6983695617; 2.13669740173;5;5;5
785436;785436;785436;75104;Paris;48.8534470903; 2.34381916735;1;1;1
988717;988717;988717;93046;Livry-Gargan;48.9166477752; 2.51499863734;4;4;4
608802;608802;608802; ; ;48.771705; 2.435188;;;
